,user,numPCwithUSBDay,numPCwithUSBNight,numConnectionDay,numConnectionNight,numCopy2DeviceDay,numCopy2DeviceNight,numWrite2DeviceDay,numWrite2DeviceNight,numCopyFromDeviceDay,numCopyFromDeviceNight,numWriteFromDeviceDay,numWriteFromDeviceNight,numDelFromDeviceDay,numDelFromDeviceNight,numOpenOnPCDay,numOpenOnPCNight
0,AAB0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13
1,AAB0398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
2,AAC0610,1512,148,300,51,335,34,214,21,420,36,0,0,370,34,349,38
3,AAC0668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8
4,AAC3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
5,AAD2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
6,AAD3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,47
7,AAF0819,2475,564,830,202,515,131,317,73,688,146,0,0,637,141,610,151
8,AAF3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
9,AAH0721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,24
10,AAM0729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
11,AAP0352,492,100,594,119,119,21,65,14,120,25,0,0,128,29,155,23
12,AAP1919,334,55,2655,434,76,14,45,9,89,18,0,0,78,9,88,13
13,AAP1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10
14,AAR0641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4
15,AAS2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,14
16,AAS3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,52
17,AAV3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
18,AAW0894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
19,ABB0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3
20,ABB0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
21,ABC3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
22,ABD3426,6913,3495,2680,1320,1716,874,896,450,1689,879,0,0,1763,810,1529,828
23,ABE2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
24,ABG2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
25,ABG3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7
26,ABH0349,1827,160,108,16,280,20,275,16,555,58,0,0,469,45,468,44
27,ABH1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31
28,ABJ0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
29,ABK0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
30,ABK3081,425,172,114,55,94,34,51,20,115,48,0,0,108,41,111,49
31,ABL0870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
32,ABM3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,172
33,ABM3641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20
34,ABM3687,3674,798,346,95,860,173,469,103,946,213,0,0,918,211,848,184
35,ABM3772,800,141,593,122,184,32,108,13,197,42,0,0,203,37,248,50
36,ABM3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6
37,ABO1173,686,188,293,103,87,24,123,29,191,61,0,0,184,44,469,183
38,ABP2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9
39,ABP2917,1490,475,354,130,380,112,189,52,401,120,0,0,353,126,307,120
40,ABR0397,77,24,98,29,20,3,10,3,21,5,0,0,17,8,20,10
41,ABS0677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,75
42,ABW0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
43,ACA0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
44,ACB0701,342,89,284,117,18,3,158,33,61,24,0,0,61,15,211,89
45,ACB3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,137
46,ACC2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,43
47,ACF1806,1845,692,735,289,464,166,235,86,469,187,0,0,455,174,423,141
48,ACG0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
49,ACG3819,594,201,313,126,125,45,76,26,167,38,0,0,137,61,160,77
50,ACH1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,43
51,ACH2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
52,ACJ0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,17
